rok,miasto,nazwa,sentence
2020,GDYNIA,Doposażenie parku pomiędzy Estakadą Kwiatkowskiego a wieżowcami przy ul. Dantyszka  w siłownię zewnętrzną i elementy małej architektury  pergole bujne ławki itp.,doposażyć park wieżowiec siłownia elementy architektura pergola bujny ławka
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Obłuże rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja
2020,GDYNIA,Ogród Sąsiedzki przy Dzikim Sadzie ul. Źródlana,ogród źródlany
2020,GDYNIA,Montaż słupów oświetleniowych na chodniku przy ul. Niskiej na odcinku pomiędzy ul. Bohaterów Getta Warszawskiego i Hodowlaną,montaż słup oświetleniowy chodnik niski bohater
2020,GDYNIA,Cotygodniowe weekendowe lekcje tańca towarzyskiego dla dorosłych,lekcja taniec towarzyski dorosły
2020,GDYNIA,Meble miejskie zaprojektowane przez dzieci. Podziemia Hal Targowych w Gdyni.,mebel zaprojektować dziecko
2020,GDYNIA,Odnowienie podwórek w obrębie ulic Płk. Dąbka Kwiatkowskiego Sucharskiego Ledóchowskiego i Macierewicza,odnowić podwórek dąbek
2020,GDYNIA,Poprawa atrakcyjności skweru przy skrzyżowaniu WielkopolskaŁowickaPłocka przez nasadzenie roślin ozdobnych,poprawa atrakcyjność skwer nasadzić roślina ozdobny
2020,GDYNIA,Radarowe wyświetlacze prędkości na ul. Morskiej,radarowy wyświetlacz prędkość morski
2020,GDYNIA,Festyny dzielnicowe i na Dzień Dziecka kino i teatr plenerowy wycieczki ogród sensoryczny kontener i pracownie naukowe na terenie SP  liga piłkarska kursy i warsztaty,festyn dzielnicowy teatr wycieczka ogród kontener pracownia naukowy ligać piłkarski kurs warsztaty
2020,GDYNIA,Budowa wielofunkcyjnych boisk sportowych przy Centrum Kształcenia Zawodowego i Ustawicznego nr ,budowa wielofunkcyjny sport
2020,GDYNIA,Progi zwalniające na Piotrkowskiej  i ,próg zwalniać
2020,GDYNIA,Parki kieszonkowe na Wzgórzu Św. Maksymiliana,park kieszonkowy
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu placu zabaw przy Promenadzie,ławka zadaszyć karmić przewijać dziecko plac zabawić
2020,GDYNIA,Wykonanie sygnalizacji świetlnej przy przejściu dla pieszych w pobliżu przystanku Steyera ,sygnalizacja świetlny przejść pieszy przystanek
2020,GDYNIA,Zumba  zajęcia ruchowe dla mieszkańców,zumba zająć ruchowy mieszkaniec
2020,GDYNIA,Budowa oświetlenia wzdłuż Starodworcowej poprawa bezpieczeństwa pieszych na Gryfa Pomorskiego Zwinisławy Źródle Marii i uspokojenie ruchu na ulicy Górniczej.,budowa poprawa pieszy uspokoić ruch
2020,GDYNIA,Wiata do przewijania i karmienia dzieci na gdyńskim bulwarze,wiata przewijać karmić dziecko gdyński bulwar
2020,GDYNIA,Piknik rodzinny i wieczorny pokaz filmowy,piknik rodzinny wieczorny pokaz filmowy
2020,GDYNIA,Posadowienie masztów z flagą narodową i watykańską przy tablicy upamiętniającej lądowanie Jana Pawła II na lotnisku,posadowić maszt flaga narodowy watykański tablica upamiętniać
2020,GDYNIA,Park Linowy dla dzieci i młodzieży na Dąbrowie,park dziecko młodzież
2020,GDYNIA,Warsztaty psychologicznorozwojowe oraz spotkanie integracyjne dla seniorów,warsztaty psychologicznorozwojowy integracyjny senior
2020,GDYNIA,Ćwiczenia profilaktycznolecznicze w trosce o zdrowy kręgosłup dla dwóch grup.,ćwiczenia profilaktycznoleczniczy troska zdrowy kręgosłup grupić
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Dąbrowa,zabawa mapa gra orientacja
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Kamienna Góra,zabawa mapa gra orientacja
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Chylonia,zabawa mapa gra orientacja
2020,GDYNIA,Doposażenie placu zabaw w Gdyni przy ul. Źródło Marii  w huśtawkę bez oparć dla dzieci starszych,doposażyć plac zabawić huśtawka oprzeć dziecko starszy
2020,GDYNIA,Miejsce parkingowe dla osób z niepełnosprawnością koło Przedszkola nr  ul. Bławatny,parkingowy osoba niepełnosprawność bławatny
2020,GDYNIA,Zakup ciężkiego samochodu ratowniczogaśniczego dla strażaków  z Ochotniczej Straży Pożarnej Gdynia Wiczlino,zakup ciężki samochód ratowniczogaśniczy strażak
2020,GDYNIA,Ogólnodostępne zajęcia sportowe unihokej dla wszystkich,zająć sport unihokej
2020,GDYNIA,Remont nawierzchni drogi pieszej oraz montaż barieroporęczy między ul. Berberysów a Modrzewiową,remont nawierzchnia drogi pieszy montaż berberys
2020,GDYNIA,Nauka języka angielskiego z native speakerem,nauka język angielski
2020,GDYNIA,Biegi dla dzieci i młodzieży,bieg dziecko młodzież
2020,GDYNIA,Sobotnie zajęcia sportowo  rekreacyjne dla mieszkańców Oksywia,sobotni zająć sport rekreacyjny mieszkaniec
2020,GDYNIA,Wybieg dla psów przy ul. Kardynała Stefana Wyszyńskiego w ChwarznieWiczlinie,wybieg pies kardynał
2020,GDYNIA,Letnie spektakle dla dzieci i dorosłych na Grabówku dwa przedstawienia,spektakl dziecko dorosły przedstawić
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą   na terenie SP  przy ul. Sucharskiego w Gdyni,budowa nowoczesny piłkarski syntetyczny trawa
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Babie Doły,zabawa mapa gra orientacja
2020,GDYNIA,Dwa spektakle teatralne w plenerze dla dzieci i dorosłych,spektakl teatralny plener dziecko dorosły
2020,GDYNIA,Barierki przy schodach na cmentarzu Oksywie,barierka schody cmentarz
2020,GDYNIA,Piknik sąsiedzki dla mieszkańców dzielnicy Leszczynki,piknik mieszkaniec
2020,GDYNIA,Wykonanie kolorowego miasteczka ruchu drogowego wraz z wymianą nawierzchni na terenie Zespołu Szkół Specjalnych nr  przy ul. Witomińskim ,kolorowy ruch wymiana nawierzchnia witomiński
2020,GDYNIA,Teatrzyk i planszowki w bibliotece,teatrzyk biblioteka
2020,GDYNIA,Bezpieczne przejście dla pieszych obok SP i przystanku Cylkowskiego,bezpieczny pieszy przystanek
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Gryfa Pomorskiego,nowoczesny estetyczny ławka
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Kamienna Góra rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w Parku Kilońskim,ławka zadaszyć karmić przewijać dziecko
2020,GDYNIA,Warsztaty komody dla młodzieży i dorosłych czyli kreatywnego przerabiania ubrań oraz podstaw szycia w Bibliotece z Pasją,warsztaty komoda młodzież dorosły kreatywny przerabiać podstawa szyć
2020,GDYNIA,Cykl warsztatów dla rodziców z dziećmi oraz koncerty muzyczne w Bibliotece Śródmieście,warsztat rodzic dziecko koncert muzyczny
2020,GDYNIA,Zagospodarowanie Placu Górnośląskiego nasadzenia nowych rabat kwiatowych bylin i dużych drzew budowa parkowego oświetlenia oraz montaż przeciwsłonecznych pergoli.,zagospodarować nasadzić rabat kwiatowy bylina budowa parkowy montaż przeciwsłoneczny pergola
2020,GDYNIA,Ogród dydaktyczny i szachy plenerowe na terenie Szkoły Podstawowej nr ,ogród dydaktyczny szachy
2020,GDYNIA,Nowy deptak w parku na zboczu Wzgórza Św. Maksymiliana,deptak park
2020,GDYNIA,Ławka z zadaszeniem do karmienia i przewijania dzieci w pobliżu fontanny przy al. Jana Pawła II,ławka zadaszyć karmić przewijać dziecko fontanna
2020,GDYNIA,Gry i zabawy z mapą i kompasem   imprezy dla młodych starszych i najstarszych w dzielnicy Pustki Kijowskie i Demptowo,gra zabawa mapa kompas impreza młody starszy stary
2020,GDYNIA,Budowa sygnalizacji świetlnej i przejścia dla pieszych na skrzyżowaniu Wielkopolskiej i Spokojnej,budowa sygnalizacja świetlny przejść pieszy
2020,GDYNIA,Pilates  zajęcia ruchowe dla mieszkańców,zająć ruchowy mieszkaniec
2020,GDYNIA,Nauka i doskonalenie pływania dla dzieci z klas  SP z terenu Witamina oraz organizacja XIV Mikołajkowy Zawodów Pływackich,nauka dziecko klasa organizacja
2020,GDYNIA,Budowa systemu monitoringu na terenie wokół SP nr ,budowa system monitoring
2020,GDYNIA,Chodnik na części ul. Rybaków,chodnik rybak
2020,GDYNIA,Zajęcia terenowe nordic walking z instruktorem dla mieszkańców Małego Kaczka,zająć instruktor mieszkaniec
2020,GDYNIA,Boisko przy ul. Kolendrowy  wymiana nawierzchni oraz montaż bramek i piłkochwytów,kolendrowy wymiana nawierzchnia montaż bramka
2020,GDYNIA,Dwie wycieczki jednodniowe dla seniorów,wycieczka jednodniowy senior
2020,GDYNIA,Cykl warsztatów z robotyki dla dzieci oraz zakup laptopa do nauki programowania w Bibliotece Dąbrowa,warsztat robotyk dziecko zakup laptop nauka programować
2020,GDYNIA,Budowa boiska piłkarskiego ze sztuczną trawą przy Szkole Podstawowej  przy ul. Okrzei,budowa piłkarski sztuczny trawa
2020,GDYNIA,Modernizacja ogólnodostępnego placu zabaw zlokalizowanego w dzielnicy Pogórze Górne w sąsiedztwie bloków przy ulicy Romanowskiego  i .,modernizacja plac zabawić zlokalizować
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Witaminy,zabawa mapa gra orientacja
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Orłowo,zabawa mapa gra orientacja
2020,GDYNIA,Spektakle edukacyjne oraz spotkania autorskie w bibliotece na Obłoku,spektakl edukacyjny spotkać autorski biblioteka
2020,GDYNIA,Adaptacja i modernizacja placu zabaw dla dzieci przy Przedszkolu nr  w Gdyni Karwiny,adaptacja modernizacja plac zabawić dziecko
2020,GDYNIA,Remont schodów wraz z budową kładki dla osób niepełnosprawnych prowadzących do lokali użytkowych w tym apteki i przychodni stomatologicznej przy ul. Żołnierzy I WP ,remont schody budowa kładka osoba niepełnosprawny prowadzić lokal użytkowy apteka przychodni stomatologiczny żołnierz
2020,GDYNIA,Stworzenie specjalistycznych pracowni warsztatów rzemieślniczych manualnokonstruktorskich,stworzyć specjalistyczny pracownia warsztat rzemieślniczy manualnokonstruktorski
2020,GDYNIA,Remont boiska ul. W. Radnego międzypokoleniowy turniej sportowy warsztaty dla seniorów ruchowe malarskie z psychologiem kino plenerowe sąsiedzki piknik wyprzedaż garażowa,remont radny międzypokoleniowy turniej sport warsztaty senior ruchowy malarski psycholog piknik wyprzedaż garażowy
2020,GDYNIA,Bezpłatne szkolenia z pierwszej pomocy dla mieszkańców Wzgórza św. Maksymiliana,bezpłatny szkolić pomoc mieszkaniec
2020,GDYNIA,Zajęcia korygujące wady postawy dla dzieci i młodzieży,zająć korygować wad postaw dziecko młodzież
2020,GDYNIA, pokazów filmowych,pokazówa filmowy
2020,GDYNIA,Cotygodniowe ćwiczenia gimnastyczne dla każdego z przerwą wakacyjną,ćwiczenia gimnastyczny przerwa wakacyjny
2020,GDYNIA,Rodzinne warsztaty kaligraficzne,rodzinny warsztaty kaligraficzny
2020,GDYNIA,Nasadzenia kwiatów i innych kompozycji roślinnych przy ulicach Dedala Ikara Zielonej i Rybaków,nasadzić kwiat kompozycja roślinny
2020,GDYNIA,Remont podjazdów dla wózków na schodach prowadzących od ulicy Słowackiego do Piotra Skargi przez teren Szkoły Podstawowej nr ,remont podjazd wózek schody prowadzić
2020,GDYNIA,Warsztaty teatralne oraz wokalne dla młodzieży i seniorów z dzielnicy Mały Kack,warsztaty teatralny wokalny młodzież senior
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Karwiny,zabawa mapa gra orientacja
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Grabówek,zabawa mapa gra orientacja
2020,GDYNIA,Zagospodarowanie terenu zielonego przy parkingu na Polance Radcowskiej poprzez uporządkowanie terenu wykonanie paleniska postawienie ławek oraz koszy na śmieci,zagospodarować parking uporządkować postawić ławka kosz
2020,GDYNIA,Kaczkomat przy Stawie na Witominie,
2020,GDYNIA,Nauka języka hiszpańskiego dla początkujących,nauka język hiszpański początkujący
2020,GDYNIA,Przebudowa placu zabaw przy ul. Szubińskiej wraz z dostosowaniem do potrzeb osób z niepełnosprawnościami.,przebudowa plac zabawić szubiński dostosować potrzeb osoba niepełnosprawność
2020,GDYNIA,Warsztaty animacje koncerty przy letniej czytelni Biblioteki Gdyńskiej na plaży,warsztaty animacja koncert czytelnia plażyć
2020,GDYNIA,Rozbudowa skateparku pod estakadą Kwiatkowskiego,rozbudowa skatepark
2020,GDYNIA,Wyposażenie placu przy SO nr  przy ul. Hallera  w interaktywne edukacyjne urządzenia,wyposażyć plac interaktywny edukacyjny
2020,GDYNIA,Budowa bieżni ze skocznią do skoku w dal i stanowiskiem do pchnięcia kulą  wraz z zagospodarowaniem terenu przy Szkole Podstawowej nr ,budowa bieżny skocznia skok dal kula zagospodarować
2020,GDYNIA,Szkoła dla rodziców  cykl warsztatów poszerzających kompetencje wychowawcze,rodzic warsztat poszerzać kompetencja wychowawczy
2020,GDYNIA,Ławki z bali pni na trasach spacerowych w lasach i trasy rowerowe dla rowerów MX EURO obok parku rodzinnego przy ul. Spokojnej,ławka bać pień trasa spacerowy lasa tras rowerowy rower park rodzinny spokojny
2020,GDYNIA,Modernizacja oraz wymiana nawierzchni na placu zabaw na Skwerze Ireny Kwiatkowski Obłuże,modernizacja wymiana nawierzchnia plac zabawić
2020,GDYNIA,Piknik rodzinny z SP Wiczlino z wymianą sąsiedzką rzeczy,piknik rodzinny wymiana
2020,GDYNIA,Psi wybieg na Pustkach Cisowskich,psi wybieg
2020,GDYNIA,Stworzenie mieszkańcom Grabówka  tuż przy wejściu do lasu od ul. Demela  miejsca spotkań odpoczynku i rekreacji,stworzyć mieszkaniec tuż las spotkać odpoczynek rekreacja
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Babie Doły rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Starodworcowej,nowoczesny estetyczny ławka
2020,GDYNIA,Ogród sensorycznorekreacyjny dla mieszkańców dzielnicy Pogórze przy ul. Porębskiego ,ogród sensorycznorekreacyjny mieszkaniec porębski
2020,GDYNIA,Montaż tablicy informacji pasażerskiej na przystanku autobusowym Dąbrowa Centrum w kierunku centrum Gdyni,montaż tablica informacja pasażerski przystanek autobusowy
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą  na terenie po byłych ogródkach działkowych przy ul. II PS i Wielkołuckiej na Witominie,budowa nowoczesny piłkarski syntetyczny trawa ogródka działkowy
2020,GDYNIA,Oświetlenie i uspokojenie ruchu na ulicy Żaglowej na odcinku ,oświetlić uspokoić ruch
2020,GDYNIA,Gry i zabawy z mapą i kompasem  cykliczne zajęcia dla najmłodszych na Kamiennej Górze,gra zabawa mapa kompas zająć młody
2020,GDYNIA,Taniec towarzyski i zajęcia fitness na Pustkach CisowskichDemptowie,taniec towarzyski zająć fitness
2020,GDYNIA,Cykliczne spotkania z grami planszowymi dla wszystkich mieszkańców Radiowa,spotkać gra planszowy mieszkaniec
2020,GDYNIA,Park kieszonkowy przy ulicy Staffa obok SP uporządkowanie terenu pomiędzy przedszkolem  a ulicą Korzenną oraz nasadzenia róź i trzciniaków w pasie rozdziału ulicy Brzechwy,park kieszonkowy uporządkować nasadzić trzciniak pas rozdział
2020,GDYNIA,Ustawienie dwóch tablic opisujących historię dzielnicy Leszczynki,ustawić tablica opisywać historia
2020,GDYNIA,Szkolenia dla mieszkańców Dąbrowy  pierwsza pomoc oraz taniec towarzyski,szkolić mieszkaniec pierwsza pomoc taniec towarzyski
2020,GDYNIA,Dwie wycieczki jednodniowe poza Trójmiasto dla seniorów,wycieczka jednodniowy senior
2020,GDYNIA,Organizacja sześciu wyjść do placówek kultury dla seniorów z Cisowej,organizacja wyjść placówka kultura senior
2020,GDYNIA,Linaria i linowe place zabaw dla dzieci i młodzieży w wieku  lat w  dzielnicach ChwarznieWiczlinie Cisowej Obłoku Oksywiu Redłowie i Wielkim Karku,linowy plac zabawić dziecko młodzież wiek
2020,GDYNIA,Montaż ogólnodostępnego defibrylatora przy kościele pw. św. Antoniego  ul. Ujejskiego ,montaż defibrylator kościół ujejski
2020,GDYNIA,Kurs kaligrafii i odręcznego pisania dla dzieci i młodzieży,kurs kaligrafia odręczny pisać dziecko młodzież
2020,GDYNIA,Cotygodniowe zajęcia jogi dla kobiet i mam z dziećmi od lutego do grudnia  r. z przerwą wakacyjną,zająć joga kobieta mamić dziecko luty grudzień przerwa wakacyjny
2020,GDYNIA,Język włoski i język hiszpański dla początkujących,język włoski język hiszpański początkujący
2020,GDYNIA,Nowy plac zabaw dla dzieci i młodzieży przy ul. Kornela Makuszyńskiego,plac zabawić dziecko młodzież
2020,GDYNIA,Strefa zabawy na terenie Szkoły Podstawowej nr  przy ul.Tatrzańskiej ,zabawa tatrzański
2020,GDYNIA,Remont drogi dojazdowej do budynku Żelazna  w Gdyni wraz z przeglądem kanalizacji oraz zainstalowaniem dodatkowej kratki  w jezdni na wody opadowe,remont drogi dojazdowy budynek przegląd kanalizacja zainstalować dodatkowy kratka jezdnia woda opadowy
2020,GDYNIA,Uzupełnienie zieleni miejskiej między ulicą Dedala  i  a koroną klifu.,zielony korona klif
2020,GDYNIA,Przeprowadzenie cyklu zajęć sportowych z siatkówki dla młodzieży i dorosłych na różnych poziomach zaawansowania,przeprowadzić zająć sport siatkówka młodzież dorosły różny poziom
2020,GDYNIA,Park kieszonkowy na placu po byłym baraku mieszkalnym przy ulicy Dedala,park kieszonkowy plac barak mieszkalny
2020,GDYNIA,Język włoski i język hiszpański dla początkujących,język włoski język hiszpański początkujący
2020,GDYNIA,Oświetlenie chodnika między przedszkolem nr  a szkołą podstawową nr  i utworzenie parku edukacyjno  rekreacyjnego na terenie przedszkolnego lasku.,oświetlić chodnik utworzyć park rekreacyjny przedszkolny lasek
2020,GDYNIA,Oświetlenie ciemnego przejścia łączącego polankę na końcu ulicy Kopernika plac do street workout i plac zabaw z ulicą Powstania Wielkopolskiego i poprawa oświetlenia na polanie.,oświetlić ciemny przejść łączyć polanka plac plac zabawić poprawa polan
2020,GDYNIA,Zielona wyspa na stawie przy skwerze ks. Piotra Mazura,zielony wyspa staw skwer
2020,GDYNIA,Postawienie figur  ryb blokujących parkowanie i uspokajających ruch w okolicach szkolnych dróg,postawić figura ryba blokujący parkować uspokajający ruch szkolny
2020,GDYNIA,Cykl zajęć zumba fitness dla każdego mieszkańca dzielnicy,zająć zumba fitness mieszkaniec
2020,GDYNIA,Cykliczne zajęcia ruchowe  joga i fitness w Redłowie,zająć ruchowy joga fitness
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy ChwarznoWiczlino rozwijające pamięć i koncentrację,warsztaty senior rozwijać pamięć koncentracja
2020,GDYNIA,Warsztaty projektowe dla mieszkańców oraz uporządkowanie terenów zielonych przy ulicy Olkuskiej,warsztaty projektowy mieszkaniec uporządkować zielony
2020,GDYNIA,Instalacja przestrzenna na placu Kaszubskim Koralowce wychodzą z morza,instalacja przestrzenny plac wychodzić
2020,GDYNIA,Montaż dwóch multimedialnych ławek solarnych na terenie skweru im. Ks. Piotra Mazura lub przy przystanku Dąbrowa Centrum ,montaż multimedialny ławka solarny skwer przystanek
2020,GDYNIA,Język angielski dla przedszkolaków,język angielski przedszkolak
2020,GDYNIA,Park pomiędzy ul. Morską a blokami przy Dreszera  i . Rozbudowa placu zabaw dla dzieci i młodzieży budowa nowych alejek  oświetlenia  uporządkowanie zieleni itp.,park morski rozbudowa plac zabawić dziecko młodzież budowa alejka uporządkować zielony
2020,GDYNIA,Kurs rysunku i malarstwa z elementami historii sztuki na Pustkach CisowskichDemptowie,kurs rysunek historia sztuk
2020,GDYNIA,Rozbudowa parku przy ul. Spokojnej przy wejściu do lasu  teren rekreacji oraz bieżnia i skocznia przy SP   wymiana nawierzchni na poliuretanową,rozbudowa park spokojny las rekreacja bieżnia skocznia wymiana nawierzchnia poliuretanowy
2020,GDYNIA,Rodzinne warsztaty budowy domków dla zwierząt,rodzinny warsztaty budowa zwierzę
2020,GDYNIA,Joga  zajęcia ruchowe dla mieszkańców,joga zająć ruchowy mieszkaniec
2020,GDYNIA,Skate Park w Parku Kilońskim,
2020,GDYNIA,Cykl zajęć gimnastycznych dla seniorów,zająć gimnastyczny senior
2020,GDYNIA,Zajęcia kulturalnoedukacyjne w oksywskiej bibliotece,zająć kulturalnoedukacyjny oksywski biblioteka
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Wielki Kack,zabawa mapa gra orientacja
2020,GDYNIA,Warsztaty kreatywnoedukacyjne w bibliotece na Obłoku,warsztaty kreatywnoedukacyjny biblioteka
2020,GDYNIA,Zasadzenie krzewów ozdobnych i kwiatów wzdłuż ulicy Chyrowej oraz ogród deszczowy w pobliżu ulic Sępia PawiaPusta,zasadzić krzew ozdobny kwiat ogród deszczowy
2020,GDYNIA,Działania na rzecz zachowania zieleni wysokiej w mieście,zachować zielony wysoki
2020,GDYNIA,Rodzinny festyn z okazji Dnia Dziecka przy Szkole Podstawowej nr ,rodzinny festyn okazja
2020,GDYNIA,Koncert Niepodległościowy .. Kościół pw. Św. Antoniego z Padwy Franciszkanie w Gdyni,koncert kościół
2020,GDYNIA,Ogród deszczowy przy ul. Św Mikołaja,ogród deszczowy
2020,GDYNIA,Ustawienie lustra drogowego na pasie zieleni rozdzielającym jezdnie ul. Władysława IV,ustawić pas zielony rozdzielać jezdnia
2020,GDYNIA,Modernizacja placu zabaw przy ul.Płk Dąbka  wraz z  modernizacją ciągów pieszych i budową  miejsc parkingowych dla osób niepełnosprawnych przy placu zabaw  oraz przy Przedszkolu,modernizacja plac zabawić pułkownik modernizacja pieszy budowa parkingowy osoba niepełnosprawny plac zabawić
2020,GDYNIA,Montaż automatycznego zewnętrznego defibrylatora ED oraz szkolenia z zakresu resuscytacji krążeniowooddechowej z wykorzystaniem ED dla  mieszkańców dzielnicy.,montaż automatyczny defibrylator szkolić resuscytacja krążeniowooddechowy wykorzystać mieszkaniec
2020,GDYNIA,Warsztaty wspierania procesu edukacji dzieci dla rodziców,warsztaty wspierać proces edukacja dziecko rodzic
2020,GDYNIA,Zajęcia sportowe np. dla uczniów pilates zumba ćwiczenia na świeżym powietrzu i spotkania z ekspertami z zakresu zdrowia i aktywności fizycznej dla mieszkańców w każdym wieku,zająć sport uczeń zumba ćwiczenia świeży spotkać ekspert aktywność fizyczny mieszkaniec wiek
2020,GDYNIA,Cotygodniowe zajęcia sportowe np. tai chi zdrowy kręgosłup dla dorosłych mieszkańców dzielnicy od lutego do grudnia  r. z przerwą wakacyjną,zająć sport taić zdrowy kręgosłup dorosły mieszkaniec luty grudzień przerwa wakacyjny
2020,GDYNIA,Manewry ratownicze dla młodzieży z symulacjami wypadków przy udziale profesjonalnych służb ratowniczych,manewry ratowniczy młodzież symulacja wypadek udział profesjonalny służba ratowniczy
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Pustki Kijowskie  Demptowo,zabawa mapa gra orientacja
2020,GDYNIA,Chodnik łączący Wiczlino Ogród z ul. Wiczliński,chodnik łączyć
2020,GDYNIA,Modernizacja ogólnodostępnego placu zabaw przy Przedszkolu nr  na ul. Biskupa Dominika ,modernizacja plac zabawić biskup
2020,GDYNIA,Kurs samoobrony dla kobiet mężczyzn i młodzieży w plenerze. Zajęcia przy ul. Racławickiej a i Strzelców siłownia i Spokojnej boisko,kurs samoobrona kobieta mężczyzna młodzież plener zająć racławicki siłownia
2020,GDYNIA,Organizacja sześciu szkoleń z pierwszej pomocy oraz pikników sportowych dla mieszkańców dzielnicy,organizacja szkolić pomoc piknik sport mieszkaniec
2020,GDYNIA,Zajęcia sportowo  rekreacyjne dla seniorów,zająć sport rekreacyjny senior
2020,GDYNIA,Plac zabaw dla dzieci przy skwerze ks. Piotra Mazura,plac zabawić dziecko skwer
2020,GDYNIA,Poprawa bezpieczeństwa poprzez stworzenie przejścia dla pieszych na trasie Płyta Redłowska  Kościół przy skrzyżowaniu ul. Radcowskiej z ul. Kopernika.,poprawa stworzyć przejść pieszy tras radcowski
2020,GDYNIA,Cotygodniowe zajęcia ruchowe poprawiające prawidłowe funkcjonowanie kręgosłupa i innych stawów dla każdego z przerwą wakacyjną,zająć ruchowy poprawiać prawidłowy funkcjonować kręgosłup staw przerwa wakacyjny
2020,GDYNIA,Cotygodniowe zajęcia ruchowe poprawiające prawidłowe funkcjonowanie kręgosłupa i innych stawów dla każdego z przerwą wakacyjną,zająć ruchowy poprawiać prawidłowy funkcjonować kręgosłup staw przerwa wakacyjny
2020,GDYNIA,Cykl pokazów filmowych w plenerze pod gwiazdami,pokazówa filmowy plener gwiazda
2020,GDYNIA,Łąki kwietne na trawnikach przy ul. Zakręt do Oksywia oraz ul. Opata Haskiego   róg z ul.Dantyszka,łąka kwietny trawnik zakręt opat
2020,GDYNIA,Treningi siłowe i cardio oraz zumba dla każdego mieszkańca dzielnicy,trening siłowy zumba mieszkaniec
2020,GDYNIA,Cykliczne zajęcia Nordic Walking,zająć
2020,GDYNIA,Cykl pokazów filmowych w plenerze,pokazówa filmowy plener
2020,GDYNIA, ogólnodostępnych defibrylatorów ED  montaż oraz przeszkolenie  mieszkańców dzielnicy,defibrylator montaż przeszkolić mieszkaniec
2020,GDYNIA,Cykliczne zajęcia ruchowe  Samoobrona dla kobiet,zająć ruchowy kobieta
2020,GDYNIA,Boisko rolkowowrotkarskie do nauki jazdy na rolkach i wrotkach gry w hokeja na rolkach unihokeja na boisku przy Szkole Podstawowej nr ,rolkowowrotkarski nauka jazda wrotka gra hokej unihokej
2020,GDYNIA,Cykliczne zajęcia dla dzieci i rodziców zajęcia ogólnorozwojowe dla dzieci w wieku msc oraz  warsztaty chustonoszenia,zająć dziecko rodzic zająć ogólnorozwojowy dziecko wiek warsztaty
2020,GDYNIA,Zajęcia rekreacyjnoruchowe dla dzieci w dwóch grupach wiekowych w okresie jesiennozimowym.,zająć rekreacyjnoruchowy dziecko grupa wiekowy okres jesiennozimowy
2020,GDYNIA,Defibrylatory ED w gdyńskiej komunikacji miejskiej,defibrylator gdyński komunikacja
2020,GDYNIA,Warsztaty wspomagające koncentrację pamięć i proces skutecznego uczenia się dla dzieci,warsztaty wspomagać koncentracja pamięć proces skuteczny uczyć dziecko
2020,GDYNIA,Wyjazd integracyjny do lasu dla zabawy i nauki,wyjazd integracyjny las zabawa nauka
2020,GDYNIA,Zabawa z mapą  gra terenowa na orientację Mały Kack,zabawa mapa gra orientacja
2020,GDYNIA,Organizacja imprezy biegowej dla dzieci i młodzieży,organizacja impreza biegowy dziecko młodzież
2020,GDYNIA,Szkolenie dla mieszkańców z zakresu dostępu do informacji publicznej i działań kontrolujących władzę na poziomie lokalnym działania typu watchdog,mieszkaniec dostęp informacja działać kontrolować władza poziom
2020,GDYNIA,Montaż elementów uspokojenia ruchu samochodowego na skrzyżowaniu ul. Bojowej z ul. Słonecznikowy w celu poprawy bezpieczeństwa pieszych,montaż uspokoić ruch samochodowy bojowy słonecznikowy poprawa pieszy
2020,GDYNIA,Akcja społeczno  edukacyjna skierowana do mieszkańców Grabówka mająca na celu zachęcenie właścicieli psów do  sprzątania po swoich czworonogich,akcja edukacyjny skierować mieszkaniec maić zachęcić właściciel pies swój czworonogi
2020,GDYNIA,Miasteczko ruchu drogowego przy Szkole Podstawowej nr  w Gdyni ul.Halicka ,ruch halicki
2020,GDYNIA,Nowoczesne i estetyczne ławki wzdłuż ulicy Nałkowskiej,nowoczesny estetyczny ławka
