rok,miasto,nazwa
2020,GDYNIA,Zajęcia terenowe nordic walking z instruktorem dla mieszkańców Małego Kacka
2020,GDYNIA,Boisko przy ul. Kolendrowej - wymiana nawierzchni oraz montaż bramek i piłkochwytów
2020,GDYNIA,Dwie wycieczki jednodniowe dla seniorów
2020,GDYNIA,Cykl warsztatów z robotyki dla dzieci oraz zakup laptopa do nauki programowania w Bibliotece Dąbrowa
2020,GDYNIA,Budowa boiska piłkarskiego ze sztuczną trawą przy Szkole Podstawowej  przy ul. Okrzei
2020,GDYNIA,"Modernizacja ogólnodostępnego placu zabaw zlokalizowanego w dzielnicy Pogórze Górne, w sąsiedztwie bloków przy ulicy Romanowskiego ,, i ."
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Witomino)
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Orłowo)
2020,GDYNIA,Spektakle edukacyjne oraz spotkania autorskie w bibliotece na Obłużu
2020,GDYNIA,"Adaptacja i modernizacja placu zabaw dla dzieci przy Przedszkolu nr  w Gdyni, Karwiny"
2020,GDYNIA,"Remont schodów wraz z budową kładki dla osób niepełnosprawnych, prowadzących do lokali użytkowych w tym apteki i przychodni stomatologicznej przy ul. Żołnierzy I AWP -"
2020,GDYNIA,Stworzenie specjalistycznych pracowni warsztatów rzemieślniczych (manualno-konstruktorskich)
2020,GDYNIA,"Remont boiska ul. W. Radtkego, międzypokoleniowy turniej sportowy, warsztaty dla seniorów: ruchowe, malarskie, z psychologiem, kino plenerowe, sąsiedzki piknik, wyprzedaż garażowa"
2020,GDYNIA,Bezpłatne szkolenia z pierwszej pomocy dla mieszkańców Wzgórza św. Maksymiliana
2020,GDYNIA,Zajęcia korygujące wady postawy dla dzieci i młodzieży
2020,GDYNIA, pokazów filmowych
2020,GDYNIA,Cotygodniowe ćwiczenia gimnastyczne dla każdego z przerwą wakacyjną
2020,GDYNIA,Rodzinne warsztaty kaligraficzne
2020,GDYNIA,"Nasadzenia kwiatów i innych kompozycji roślinnych przy ulicach Dedala, Ikara, Zielonej i Rybaków"
2020,GDYNIA,"Remont podjazdów dla wózków na schodach prowadzących od ulicy Słowackiego do Piotra Skargi, przez teren Szkoły Podstawowej nr "
2020,GDYNIA,Warsztaty teatralne oraz wokalne dla młodzieży i seniorów z dzielnicy Mały Kack
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Karwiny)
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Grabówek)
2020,GDYNIA,"Zagospodarowanie terenu zielonego przy parkingu na Polance Redłowskiej poprzez uporządkowanie terenu, wykonanie paleniska, postawienie ławek oraz koszy na śmieci"
