rok,miasto,nazwa
2020,CZĘSTOCHOWA,Sesje TRE® - uwolnij stres i napiecie Z ciala.
2020,CZĘSTOCHOWA,Multimedia W nowoczesnej edukacji Z ZSP nr 
2020,CZĘSTOCHOWA,Czestochowa gra W szachy
2020,CZĘSTOCHOWA,Biletomat
2020,CZĘSTOCHOWA,Poprawa oznakowania - ul. Warszawska
2020,CZĘSTOCHOWA,Miejska Kampania PROszczepionkowa - mamy Warte nie chcemy. odry !
2020,CZĘSTOCHOWA,Remont drogi i budowa oswietlenia na ulicy przy strazy miejskiej.
2020,CZĘSTOCHOWA,"Koncert muzyki blusowej i elektronicznej  dniowy pl. Bieganskiego (piatek, sobota)"
2020,CZĘSTOCHOWA,Laweczka multimedialna (al. Armii Krajowej )
2020,CZĘSTOCHOWA,Lona i Webber - koncert
2020,CZĘSTOCHOWA,Dietetyka dla nastolatków Z problemami tradzikowymi
2020,CZĘSTOCHOWA,Laweczka multimedialna ( ul. Kazimierza Pulaskiego )
2020,CZĘSTOCHOWA,Centrum Informatyczne W Zespole Szkolno-Przedszkolnym nr 
2020,CZĘSTOCHOWA,Turystyczny Rajd Pojazdów Zabytkowych i Klasycznych
2020,CZĘSTOCHOWA,Licznik rowerzystów W Czestochowie
2020,CZĘSTOCHOWA,Urban ART TRAIL - szlak czestochowskich MURALI
2020,CZĘSTOCHOWA,Warsztaty teatralne dla  osobowej grupy seniorów plus mlodziez szkolna
2020,CZĘSTOCHOWA,Laweczka multimedialna ( ul. Limanowskiego)
2020,CZĘSTOCHOWA,Warsztaty i spotkanie Z Jaroslawem Kuzniarem
2020,CZĘSTOCHOWA,Bezpieczniejsza jazda rowerem po naszym miescie - szkolenie
2020,CZĘSTOCHOWA,Laweczka multimedialna ( ul. Rejtana)
2020,CZĘSTOCHOWA,"Centrum funkcji, motoryki i rytmizacji ruchu"
2019,DĄBROWA GÓRNICZA,Zielona Tężnia
2019,DĄBROWA GÓRNICZA, - - START
2019,DĄBROWA GÓRNICZA,Centrum rekreacji i sportów rowerowych Pumptrack
2019,DĄBROWA GÓRNICZA,Dezynsekcja w Dąbrowie Górniczej
2019,DĄBROWA GÓRNICZA,Droga na Pogorię
2019,DĄBROWA GÓRNICZA,Nowe książki w bibliotece (projekt wycofany)
2019,DĄBROWA GÓRNICZA,Tężnia Solankowa
2019,DĄBROWA GÓRNICZA,Nowe Miejsca Postojowe
2019,DĄBROWA GÓRNICZA,Parking Wielopoziomowy
2019,DĄBROWA GÓRNICZA,Tężnia
2019,DĄBROWA GÓRNICZA,Tężnia solankowa w Parku Hallera.
2019,DĄBROWA GÓRNICZA,Rekonstrukcja drewnianej architektury w Parku Zielona
2019,DĄBROWA GÓRNICZA,Wieża Widokowa - Wzgórze Gołonoskie
2019,DĄBROWA GÓRNICZA,Pumptrack
2019,DĄBROWA GÓRNICZA,Park Doświadczeń na terenie Szkoły Podstawowej nr 
2019,DĄBROWA GÓRNICZA,Zepół -ech Kaskadowych Tężni Solankowych
2019,DĄBROWA GÓRNICZA,Tężnia Solankowa na Zielonej
2019,DĄBROWA GÓRNICZA,Sport - Droga do Sukcesu
2019,DĄBROWA GÓRNICZA,Dąbrowska kocia klubokawiarnia
2019,DĄBROWA GÓRNICZA,Laboratorium Możliwości
2019,DĄBROWA GÓRNICZA, Miejsc Parkingowych i Poprawa Bezpieczeństwa
2019,DĄBROWA GÓRNICZA,Psia Łączka w Parku Hallera
2019,DĄBROWA GÓRNICZA,"Modernizacja Parku Historyczno-Militarnego ""Reduta"" Muzeum Miejskiego Sztygarka zlokalizowanego przy ul. Legionów Polskich  w Dąbrowie Górniczej."
2019,DĄBROWA GÓRNICZA,"Drony, Dotacje i Fundusz Antysmogowy"
2019,DĄBROWA GÓRNICZA,Zakup i wyposażenie nowego nowego specjalistycznego samochodu do przewozów psów ratowniczych dla jednostki ratowniczo-poszukiwawczej OSP Okradzionów.
2019,DĄBROWA GÓRNICZA,Dąbrowska Pustynia Błędowska
2019,DĄBROWA GÓRNICZA,Zagłębiowskie Noce Operowe
2019,DĄBROWA GÓRNICZA,Podlesie Pełne Życia
2019,DĄBROWA GÓRNICZA,Łączymy seniorów w Dąbrowie Górniczej - bal międzypokoleniowy w Domu Kultury Ząbkowice.
2019,DĄBROWA GÓRNICZA,Budowa interaktywnego przejścia dla pieszych przy ul. Staszica.
2019,DĄBROWA GÓRNICZA,"Festiwal Teatrów Dziecięcyh ""Pora na Teatr"""
2019,DĄBROWA GÓRNICZA,Dąbrowa młodzieży. Dąbrowa teatrów.
2020,DĄBROWA GÓRNICZA,Łąki kwietne w Parku Hallera
2020,DĄBROWA GÓRNICZA,Trasa rowerowa wokół Pogoria IV
2020,DĄBROWA GÓRNICZA,Rodzinny zakątek z tężnią w tle
2020,DĄBROWA GÓRNICZA,Spacerowa - ulicą spacerową
2020,DĄBROWA GÓRNICZA,Parking przy Struga
2020,DĄBROWA GÓRNICZA,Parking przy Dąbrowskiego 
2020,DĄBROWA GÓRNICZA,Budowa parkingu eko
2020,DĄBROWA GÓRNICZA,Dąbrowskie Chodniki
2020,DĄBROWA GÓRNICZA,Ogrodzenie Terenu OSP
2020,DĄBROWA GÓRNICZA,Miejska Strzelnica Sportowa
2020,DĄBROWA GÓRNICZA,Podlesie Pełne Życia - etap 
2020,DĄBROWA GÓRNICZA,Parking
2020,DĄBROWA GÓRNICZA,Parking na osiedlu Kasprzaka
2020,DĄBROWA GÓRNICZA,Sportowa Dzielnica
2020,DĄBROWA GÓRNICZA,Monitoring uliczny
2020,DĄBROWA GÓRNICZA,Trakt pieszy wzdłuż torowiska
2020,DĄBROWA GÓRNICZA,Rewitalizacja - Równe chodniki i drogi
2020,DĄBROWA GÓRNICZA,Modernizacja parkingu osiedlowego
2020,DĄBROWA GÓRNICZA,Modernizacja drogi na osiedlu Mydlice
2020,DĄBROWA GÓRNICZA,Park z prawdziwego zdarzenia - Mydlice
2020,DĄBROWA GÓRNICZA,Modernizacja drogi dojazdowej i parkingu
2020,DĄBROWA GÓRNICZA,Modernizacja pasażu
2020,DĄBROWA GÓRNICZA,Bezpieczny przejazd i przejście ul. Leśna
2020,DĄBROWA GÓRNICZA,Budowa tężni solankowej w Parku Hallera
2020,DĄBROWA GÓRNICZA,Wieża widokowa na Wzgórzu Gołonoskim
2020,DĄBROWA GÓRNICZA,Łączymy mieszkańców i działkowiczów
2020,DĄBROWA GÓRNICZA,Skrzyżowanie Korczaka z Wojska Polskiego
2020,DĄBROWA GÓRNICZA,Dąbrowskie Planty
2020,DĄBROWA GÓRNICZA,Chodniki i jezdnia przy ulicy Leśnej 
2020,DĄBROWA GÓRNICZA,Modernizacja kortów tenisowych
2020,DĄBROWA GÓRNICZA,Tężnia solankowa w Parku Hallera
2020,DĄBROWA GÓRNICZA,Park krajobrazowy - Górka Gołonoska
2020,DĄBROWA GÓRNICZA,Tężnia solankowa w Parku Hallera
2020,DĄBROWA GÓRNICZA,Plac Sportu i Rekreacji Podlesie
2020,DĄBROWA GÓRNICZA,Portal do EduMożliwości
2020,DĄBROWA GÓRNICZA,Biohazard od gołębi - likwidacja
2020,DĄBROWA GÓRNICZA,Amfiteatr Pełen Życia
2020,DĄBROWA GÓRNICZA,Rodzinny przylądek na Pogorii
2020,DĄBROWA GÓRNICZA,Warsztaty naukowe dla dzieci i młodzieży
2020,DĄBROWA GÓRNICZA,Rodzinne Planty
2020,DĄBROWA GÓRNICZA,Dąbrowskie Źródełka - system poidełek
2020,DĄBROWA GÓRNICZA,Zakup samochodu specjalistycznego
2020,DĄBROWA GÓRNICZA,Więcej tlenu dla mieszkańców
2020,DĄBROWA GÓRNICZA,Modernizacja ul. Młodych
2020,DĄBROWA GÓRNICZA,Usługi opiekuńcze dla osób starszych
2020,DĄBROWA GÓRNICZA,Budowa ścieżki rowerowej przy ul. Staszica
2020,DĄBROWA GÓRNICZA,Rewitalizacja stawiku na Trzebyczce
2020,DĄBROWA GÓRNICZA,Dąbrowskie Superdzieciaki
2020,DĄBROWA GÓRNICZA,ZdroWIEM w Dąbrowie
2020,DĄBROWA GÓRNICZA,Park rekreacyjno - rowerowy
2020,DĄBROWA GÓRNICZA,Etnobotaniczna Noc Świętojańska
2020,DĄBROWA GÓRNICZA,Dąbrowska Zielarnia Seniora
2020,DĄBROWA GÓRNICZA,Dąbrowska Zielarnia Juniora
2020,DĄBROWA GÓRNICZA,Urokliwe Wywierzyska
2020,DĄBROWA GÓRNICZA,Park Srocza Góra
2018,DĄBROWA GÓRNICZA,Aranzacja zieleni na osiedlu Mickiewicza i Krasinskiego
2018,DĄBROWA GÓRNICZA,Doposazenie placu zabaw na os.Mickiewicza miedzy blokami 
2018,DĄBROWA GÓRNICZA,Zabudowana szafa W swietlicy W Antoniowie
2018,DĄBROWA GÓRNICZA,"Sciezka ekologiczno- dydaktyczna ""Bagna W Antoniowie"""
2018,DĄBROWA GÓRNICZA,Fit festyn
2018,DĄBROWA GÓRNICZA,Uporzadkowanie terenu obok przystanku koncowego
2018,DĄBROWA GÓRNICZA,Doposazenie Remizy OSP
2018,DĄBROWA GÓRNICZA,Miejsca parkingowe przy Morcinka 
2018,DĄBROWA GÓRNICZA,Miejsce rekreacji dla matych i duzych
2018,DĄBROWA GÓRNICZA,Utworzenie parkingu oraz pielegnacja zieleni
2018,DĄBROWA GÓRNICZA,Biblioteka dla wszystkich - czytanie jest modne
2018,DĄBROWA GÓRNICZA,Parking osiedlowy przy ul. Cieszkowskiego 
2018,DĄBROWA GÓRNICZA,Parking na ulicy Cieszkowskiego -
2018,DĄBROWA GÓRNICZA,Parking na ulicy Tiereszkowej
2018,DĄBROWA GÓRNICZA,Biblioteka XXI W
2018,DĄBROWA GÓRNICZA,"Chodnik strona potudniowa pomiedzy ul. Tysiaclecia  a Kasprzaka ,a."
2018,DĄBROWA GÓRNICZA,"Parking i chodnik. Skwer Kasprzaka ,"
2018,DĄBROWA GÓRNICZA,Parking osiedlowy przy bloku Kasprzaka  - kontynuacja Z roku 
2018,DĄBROWA GÓRNICZA,Remont chodnika ul. Mtodych
2018,DĄBROWA GÓRNICZA,Odprowadzenie wody deszczowej Z placu przed cukiernia
2018,DĄBROWA GÓRNICZA,Chodnik W drodze na poczte
2018,DĄBROWA GÓRNICZA,Raj dla dzieci - rewitalizacja placyku dla najmfodszych
2018,DĄBROWA GÓRNICZA,Budowa ciagu pieszo - jezdnego przy ul. Zagórcze etap 
2018,DĄBROWA GÓRNICZA,"Sportowo - rekreacyjne zagospodarowanie dziatki  przy ulicy Zygmunta Rózyckiego, etap"
2018,DĄBROWA GÓRNICZA,Modernizacja placu zabaw
2018,DĄBROWA GÓRNICZA,Wymiana podtoza na placu zabaw
2018,DĄBROWA GÓRNICZA,Przyjazna biblioteka Filia nr 
2018,DĄBROWA GÓRNICZA,Doposazenie Filii nr  MBP w nowosci ksiazkowe
2018,DĄBROWA GÓRNICZA,Zakup namiotów biesiadnych
2018,DĄBROWA GÓRNICZA,Miejsce na imprezy plenerowe - wykostkowanie
2018,DĄBROWA GÓRNICZA,Zwiekszenie ilosci miejsc parkingowych przy ul. Dtugiej 
2018,DĄBROWA GÓRNICZA,Swietlica Srodowiskowa Skate Room
2018,DĄBROWA GÓRNICZA,Wybieg dla psów
2018,DĄBROWA GÓRNICZA,Rozbudowa Monitoringu wizyjnego na Manhattanie
2018,DĄBROWA GÓRNICZA,Biblioteka dla kazdego i matego i duzego
2018,DĄBROWA GÓRNICZA,Zagospodarowanie placu centralnego W Mariankach
2018,DĄBROWA GÓRNICZA,Rewitalizacja skweru Stare Mydlice
2018,DĄBROWA GÓRNICZA,Sciezka pieszo - rowerowa
2018,DĄBROWA GÓRNICZA,Park kieszonkowy
2018,DĄBROWA GÓRNICZA,Remont drogi i chodnika przy Chopina
2018,DĄBROWA GÓRNICZA,Zamontowanie furtki
2018,DĄBROWA GÓRNICZA,Dostawa i montaz  sztuk kabin dla zawodników rezerwowych
2018,DĄBROWA GÓRNICZA,Doposazenie Éwietlicy Srodowiskowej Z wypoziomowaniem terenu
2018,DĄBROWA GÓRNICZA,Sitownia pod chmurka
2018,DĄBROWA GÓRNICZA,Miejsca parkingowe -
2018,DĄBROWA GÓRNICZA,Uporzadkowanie terenów zewnetrznych osiedla
2018,DĄBROWA GÓRNICZA,Doposazenie Filii  Miejskiej Biblioteki Publicznej
2018,DĄBROWA GÓRNICZA,Miejsca parkingowe
2018,DĄBROWA GÓRNICZA,Stoty parkowo - rekreacyjne
2018,DĄBROWA GÓRNICZA,Remont chodnika Spótdzielcza
2018,DĄBROWA GÓRNICZA,Przystanki autobusowe przy ul.Ratanice
2018,DĄBROWA GÓRNICZA,"Modernizacja infrastruktury W obrebie ulic Królowej Jadwigi, Skibinskiego, Augustynika, Cieplaka, Konopnickiej"
2018,DĄBROWA GÓRNICZA,Aktywna Biblioteka
2018,DĄBROWA GÓRNICZA,Remont chodnika i poszerzenie ulicy na zatoki parkingowe ul.Orzeszkowa
2018,DĄBROWA GÓRNICZA,"Remont ciagu komunikacji pieszej oraz, montaz elementów matej architektury, nasadzenie zieleni."
2018,DĄBROWA GÓRNICZA,Nowe zycie parkingu oraz nowe miejsca parkingowe
2018,DĄBROWA GÓRNICZA,Osiedlowy parking przy ul.Adamieckiego  w Dabrowie Górniczej
2018,DĄBROWA GÓRNICZA,Remont oraz doposazenie Swietlicy Érodowiskowej
2018,DĄBROWA GÓRNICZA,Budowa aktywnego przejscia dla pieszych
2018,DĄBROWA GÓRNICZA,Bezpieczne chodzenie przy ul Starzynskiego
2018,DĄBROWA GÓRNICZA,Bezpiecznie i wygodnie na Starym Gotonogu
2018,DĄBROWA GÓRNICZA,Kocie towarzystwo na Starym Gotonogu
2018,DĄBROWA GÓRNICZA,Mata wspólna przestrzen
2018,DĄBROWA GÓRNICZA,Zakatek rekreacyjny przy szkole
2018,DĄBROWA GÓRNICZA,Modernizacja parkingu przy Kasprzaka 
2018,DĄBROWA GÓRNICZA,Stary Gotonóg oswietlenie na Wybickiego Bema
2018,DĄBROWA GÓRNICZA,Wymiana latarni
2018,DĄBROWA GÓRNICZA,Wymiana nawierzchni na placu zabaw
2018,DĄBROWA GÓRNICZA,Zagospodarowanie przestrzeni w poblizu boiska LKS Promien
2018,DĄBROWA GÓRNICZA,Budowa infrastruktury rowerowej W Strzemieszycach Wielkich
2018,DĄBROWA GÓRNICZA,Zakup nowosci wydawniczych Filii nr 
2018,DĄBROWA GÓRNICZA,Modernizacja placu pomiedzy budynkami Kosciuszki -
2018,DĄBROWA GÓRNICZA,Parking przy ul. Kosciuszki  oraz 
2018,DĄBROWA GÓRNICZA,Przebudowa drogi wewnetrznej osiedlowej wraz Z oswietleniem typu parkowego Z rozbudowa parkingu i nasadzeniem zieleni
2018,DĄBROWA GÓRNICZA,Nowe ksiazki dla biblioteki
2018,DĄBROWA GÓRNICZA,Wymiana nawierzchni chodnikowej i zazielenienie skweru
2018,DĄBROWA GÓRNICZA,Nowe oswietlenie pod nowym zadaszeniem
2018,DĄBROWA GÓRNICZA,Modernizacja powierzchni uzytkowej przy SP nr  i strefie rekreacyjnej
2018,DĄBROWA GÓRNICZA,Zakup sprzetu nagfasniajacego Z szafa do przechowywania
2018,DĄBROWA GÓRNICZA,Skfadane zestawy ogrodowe
2018,DĄBROWA GÓRNICZA,Zakup rzutnika wraz Z ekranem projekcyjnym
2018,DĄBROWA GÓRNICZA,Bezpieczna dzielnica
2018,DĄBROWA GÓRNICZA,Budowa parku rozrywki Tucznawa - Bugaj - Sikorka
2018,DĄBROWA GÓRNICZA,Poszerzenie ul. Pogoria oraz budowa chodnika
2018,DĄBROWA GÓRNICZA,Nowa powierzchnia do tanczenia na placu remizy OSP Ujejsce
2018,DĄBROWA GÓRNICZA,Zagospodarowanie terenu wokót remizy OSP
2018,DĄBROWA GÓRNICZA,Zakup tablicy informacyjnej o zanieczyszczeniach powietrza
2018,DĄBROWA GÓRNICZA,Remont pomieszczen w Domu Kultury W Zabkowicach
2018,DĄBROWA GÓRNICZA,Zakatek dla aktywnych
2018,DĄBROWA GÓRNICZA,Kampania o zanieczyszczeniach antysmogowa
2018,DĄBROWA GÓRNICZA,Modernizacja zagospodarowania terenu Osiedla Robotniczego- odnowienie nawierzchni parkingu W rejonie garazy i budynku A
2018,DĄBROWA GÓRNICZA,Rozbudowa infrastruktury boiska sportowego
2018,DĄBROWA GÓRNICZA,Remont kapitalny chodnika
2018,DĄBROWA GÓRNICZA,Zielony zakatek na Granicznej
2018,GLIWICE,"Budowa skweru i strefy wypoczynku wraz Z oswietleniem terenu przy ul. Brzozowej, pomiedzy budynkami nr  i nr ."
2018,GLIWICE,"Zakup i montaz pilkochwytów, scianki do graffiti, stolu do ping-ponga oraz stolu do gry W pilkarzyki - plac zabaw przy ul. Franciszkanskiej."
2018,GLIWICE,Zakup nowego wyposazenia (szafki) do szatni dla uczniów SP  oraz prac remontowych W szatni.
2018,GLIWICE,Rekonstrukcja krzyza Z  r. przy ul. Zytniej . Na koszt mieszkanców zagospodarowany zostanie teren i zamontowany ozdobny plotek wokót krzyza.
2018,GLIWICE,Organizacja calorocznych zajec fitness + oraz zajeó tanecznych dla kobiet.
2018,GLIWICE,"Organizacja marszów nordic walking, biegów oraz gier edukacyjnych."
2018,GLIWICE,Budowa placu zabaw przy ul. Lódzkiej.
2018,GLIWICE,Doposazenie placu zabaw przy ul. Nad Lakami.
2018,GLIWICE,Budowa miejsc parkingowych dla samochodów osobowych przy ul. Kopernika.
2018,GLIWICE,Kurs j. angielskiego dla poczatkujacych i srednio zaawansowanych -  godziny lekcyjne tygodniowo dla grup + (po  osób).
2018,GLIWICE,Budowa silowni zewnetrznej na terenie skweru - lecia Ligoty Zabrskiej.
2018,GLIWICE,Organizacja cyklicznych zajeó fitness i aerobic dla kobiet W grupach po  osób.
2018,GLIWICE,Ulozenie nowej nawierzchni Z kostki betonowej na chodniku i miejscach postojowych przy ul. Zygmuntowskiej od ul. Poezji do ul. Ossolinskich - strona nieparzysta.
2018,GLIWICE,Organizacja zajeó tenisa stolowego dla  dzieci Z Labed -  raz W tygodniu po  godziny.
2018,GLIWICE,Organizacja zajec rekodzielniczych dla  doroslych mieszkanców osiedla W Centrum Sportowo- Kulturalnym Labedz.
2018,GLIWICE,"Organizacja cyklicznych zajec zumba - fitness dla  kobiet, mieszkanek Labed. Lacznie ok.  godzinnych zajec."
2018,GLIWICE,"Organizacja cyklicznych zajeó aqua fitness dla  kobiet, mieszkanek Labed. Lacznie ok.  godzinnych zajec."
2018,GLIWICE,"Organizacja nieodplatnego udzialu seniorów W pieciu spektaklach teatralnych,  osób W wieku +."
2018,GLIWICE,"Organizacja  wyjazdów integracyjnych - do Radiostacji Gliwickiej, Palacu W Plawniowicach, Zamku W Toszku, Kopalni Guido W Zabrzu oraz rejsu po Kanale Gliwickim dla  osób +."
2018,GLIWICE,"Modernizacja zaplecza sportowego. Wymiana instalacji, stolarki drzwiowej, posadzek, tynków i okladzin sciennych, odmalowanie pomieszczen, wymiana wyposazenia."
2018,GLIWICE,"Organizacja rozgrywek pilkarskich dla dzieci W wieku , ,  lat na Osiedlu Obronców Pokoju."
2018,GLIWICE,Utwardzenie kruszywem na calej dlugosci (ok.  m) ul. Piekarskiej.
2018,GLIWICE,"Wykonanie zapetlonego falistego toru do jazdy na rowerze, rolkach, hulajnogach i deskorolkach W okolicy lodowiska Tafla."
2018,GLIWICE,Utwardzenie powierzchni rekreacyjnej Z wykonaniem trwalych nadruków gier planszowych/edukacyjnych W formacie maxi przy SP .
2018,GLIWICE,"Wykonanie bezpiecznych nawierzchni, montaz dodatkowych urzadzen zabawowych oraz lawek na placu zabaw przy ul. Bekasa."
2018,GLIWICE,"Remont chodnika laczacego ul. Czapli Z al. Sikornik, W rejonie budynków pomiedzy ul. Rybitwy i Cyraneczki."
2018,GLIWICE,"Dodatkowe oznakowanie aktywnymi znakami informacyjnymi, zasilanymi panelami stonecznymi,  przejsé dla pieszych przez ul. Pliszki (w okolicy kosciola, na wysokosci placu zabaw przy ul. Bekasa)."
2018,GLIWICE,Wybudowanie dodatkowego oswietlenia przejscia dla pieszych przy skrzyzowaniu ul. Czapli i Czajki.
2018,GLIWICE,Zagospodarowanie terenu wokót stawów przy ul. Jesiennej.
2018,GLIWICE,"Montaz dodatkowych urzadzen silowych, stolu do gry W szachy oraz lawek na terenie Parku Szwajcaria."
2018,GLIWICE,Organizacja osiedlowej ligi tenisa stolowego dla mieszkanców Starych Gliwic.
2018,GLIWICE,Organizacja ligi pilkarskiej dla mieszkanców Starych Gliwic.
2018,GLIWICE,"Szkolenie Z obslugi komputera dla  seniorów, które mogloby odbywac sie na terenie osiedla."
2018,GLIWICE,"Montaz samoobslugowej stacji napraw rowerów, wyposazonej W niezbedne narzedzia, przy ul. Zabinskiego W rejonie sklepu Biedronka."
2018,GLIWICE,Cykliczne rajdy rowerowe ( rajdów) dla - osobowych grup seniorów ze Starych Gliwic.
2018,GLIWICE,Zakup sprzetu biathlonowego dla SP .
2018,GLIWICE,Wykonanie bezpiecznej nawierzchni i instalacja dodatkowych urzadzen zabawowych oraz ustawienie dodatkowego ogrodzenia - plac zabaw przy PM .
2018,GLIWICE,Ulozenie kostki brukowej na  m² powierzchni parkingowej przy ul. Waliszewskiego.
2018,GLIWICE,Zakup nowosci wydawniczych dla Filii nr  MBP.
2018,GLIWICE,Zorganizowanie éwiczen gimnastycznych dla - osób W wieku +.
2018,GLIWICE,Urzadzenie miejsca do wspólnej pracy kilkunastu osób W Parku Chopina. Stól i lawki pod zadaszeniem Z dostepem do energii elektrycznej oraz hotspot.
2018,GLIWICE,"Cykl  spotkan zachecajacych do aktywnego spedzania wolnego czasu dla mlodych ludzi W wieku - lat - pierwsza pomoc, techniki linowe, terenoznawstwo."
2018,GLIWICE,"Aqua aerobik na basenie W SP , cwiczenia gimnastyczne oraz konsultacje Z dietetykiem dla  osób W wieku +."
2018,GLIWICE,Kolejna edycja bezplatnego kursu samoobrony dla gliwiczanek.
2018,GLIWICE,Zorganizowanie raz W miesiacu spotkan Z autorami i podróznikami W Filii nr  MBP.
2018,GLIWICE,Wykonanie oswietlenia solarnego -  lampy uliczne na terenie wybiegu dla psów.
2018,GLIWICE,Budowa chodników na terenie Spóldzielni Mieszkaniowej Gwarków W sladzie wydeptanych sciezek pomiedzy budynkami.
2018,GLIWICE,"Zmiana ksztaltu na prostokatny, przeniesienie istniejacego chodnika, rekultywacja trawiastej nawierzchni oraz ustawienie pilkochwytów na boisku przy ul. Pszczynskiej -."
2018,GLIWICE,Doposazenie placu zabaw przy ul. Magnolii o podwójna hustawke oraz silowni o zespót urzadzen typu parkour.
2018,GLIWICE,Poszerzenie górki do jazdy na sankach oraz utworzenie na jej szczycie wyplaszczenia.
2018,GLIWICE,"Zorganizowanie spotkan Z pisarzami i podróznikami, warsztaty plastyczne i spektakle dla dzieci W Filii nr  MBP."
2018,GLIWICE,Warsztaty artystyczne dla dzieci i doroslych - mieszkanców dzielnicy - W klubie osiedlowym Chatka.
2018,GLIWICE,"Utwardzenie terenu kostka brukowa, odwodnienie, zalozenie trawników przy drodze wewnetrznej pomiedzy ul. Dlugosza i Zawiszy Czarnego."
2018,GLIWICE,Remont fragmentu ul. Targowej od strony ul. Witkiewicza.
2018,GLIWICE,Zajecia fitness i treningi sportowe dla mieszkanców osiedla. Laczna liczba zajec .
2018,GLIWICE,"Organizacja na terenie szkoly przy ul. Lipowej  zajoó Z obslugi urzadzen elektronicznych dla dzieci i doroslych. Zakup tabletów, urzadzen wielofunkcyjnych, gier, pomocy edukacyjnych."
2018,GLIWICE,Ulozenie nawierzchni Z kostki betonowej na dlugosci ok.  m przy ul. Libelta (strona parzysta).
2018,GLIWICE,"Wymiana zniszczonych urzadzen zabawowych i doposazenie placu zabaw przy SP  (zjezdzalnia, hustawki, bujaki)."
2019,GLIWICE,"Doposazenie ZSP- W zestawy multimedialne, sprzet do narciarstwa biegowego i biathlonu oraz zakup urzadzen zabawowych do ogólnodostepnego ogrodu przy przedszkolu."
2019,GLIWICE,Modernizacja oswietlenia ul. Królewskiej Tamy na odcinku od ul. Baildona do Robotniczej.
2019,GLIWICE,"Otwarte spotkanie dla mieszkanców na temat sztuki ulicznej i mozliwosci jej wykorzystania do zmiany otoczenia, polaczone Z wykonaniem np. murali."
2019,GLIWICE," zajecia aktywizujace dla mlodziezy, obejmujace m.in. elementy pracy W grupie, radzenia sobie ze stresem i umiejetnosci pierwszej pomocy."
2019,GLIWICE,"Wykonanie oswietlenia na ul. Zielnej, nieoswietlonym fragmencie ul. Lanowej i Glebowej przy zastosowaniu lamp solarno- wiatrowych."
2019,GLIWICE,Rekonstrukcja kapliczki sw. Jana Nepomucena Z XIX W. wraz Z rzezba oraz zagospodarowanie terenu wokót - przy ul. Rolników pomiedzy nr  a .
2019,GLIWICE,Doposazenie placu zabaw przy ul. Lódzkiej JOlsztyrskiej/Gnieznierskiej/ Rzeszowskiej o nowe urzadzenia sportowe street workout do kwoty   zl.
2019,GLIWICE,Budowa silowni zewnetrznej przy ul. Nad Lakami.
2019,GLIWICE,Wykonanie remontu drogi - czesci lacznika ul. Nad Lakami Z Kolejowa.
2019,GLIWICE,Budowa miejsc parkingowych dla samochodów osobowych przy ul. Kopernika.
2019,GLIWICE,"Remont chodnika przy ul. Klonowej, Cichej, Ceglarskiej W sladzie starej sciezki."
2019,GLIWICE," zajecia aktywizujace dla mlodziezy, obejmujace m.in. elementy pracy W grupie, radzenia sobie ze stresem i umiejetnosci pierwszej pomocy."
2019,GLIWICE,"Organizacja zajec sportowych dla dzieci i mlodziezy - siatkówka, pilka nozna i taniec."
2019,GLIWICE,"Organizacja zajec fitness i aerobik dla  kobiet Z osiedla, raz W tygodniu Z przerwa wakacyjna."
2019,GLIWICE,Budowa placu zabaw przy ul. Klasztornej.
2019,GLIWICE,"Organizacja raz W tygodniu dwugodzinnych zajec W tenisie stolowym dla  dzieci Z osiedla W wieku szkolnym W Centrum Sportowo-Kulturalnym ""Labedz""."
2019,GLIWICE,"Modernizacja ogólnodostepnego placu zabaw o powierzchni  m przy szkole na osiedlu Obronców Pokoju - wymiana nawierzchni, nowe urzadzenia."
2019,GLIWICE,"Wykonanie miniparku botanicznego, skladajacego sie Z drzew i krzewów ciekawych przyrodniczo przy ul. Obronców Pokoju."
2019,GLIWICE,Organizacja rozgrywek osiedlowej ligi pilkarskiej dla dzieci do lat .
2019,GLIWICE,"Cykl warsztatów ""Rodzicielstwo bliskosci W praktyce"" dla obecnych i przyszlych rodziców."
2019,GLIWICE,"Zakup specjalistycznego sprzetu ratowniczego dla OSP Ostropa - motopompy, pradownic, lancy gasniczej i podpór stabilizujacych."
2019,GLIWICE,Remont zjazdu Z ul. Daszynskiego na droge przycmentarna przy Parafii Ducha Swietego W Ostropie.
2019,GLIWICE,Remont nawierzchni chodnika prowadzacego do przychodni lekarskiej przy ul. Lekarskiej .
2019,GLIWICE,"Rekultywacja skweru W rejonie ulic Wroclawska/Arkonska/Lutycka - m.in. budowa alejek, montaz malej architektury oraz nasadzenia krzewów."
2019,GLIWICE,Kurs jazdy na rolkach dla  dziesiecioosobowych grup.
2019,GLIWICE,Cykl ogólnodostepnych  warsztatów rekodzielniczych oraz  wydarzen kulturalnych.
2019,GLIWICE,"Zakup i instalacja na terenie SP  interaktywnych urzadzen edukacyjnych, wykorzystujacych zjawiska Z zakresu fizyki, dla mieszkanców osiedla."
2019,GLIWICE,Nasadzenie  drzew i  krzewów na terenie osiedla.
2019,GLIWICE,Remont chodnika W okolicy placu zabaw przy ul. Bekasa.
2019,GLIWICE,Organizacja calorocznych zajec fitness dla mieszkanców osiedla na terenie SP .
