token,occurrence,emotion
ćwiczeń,7,[]
zimowanie,7,[]
zbiorniku,7,[]
wycieczki,7,[]
wieku,7,[]
typu,7,[]
trawnik,7,[]
taca,7,[]
skwerek,7,[]
skrzynki,7,[]
rosliny,7,[]
relaksu,7,[]
program,7,[]
powrót,7,[]
powierzchni,7,[]
potańcówki,7,[]
pokolenia,7,[]
poidełko,7,[]
osiedli,7,[]
odpoczynku,7,[]
odmianach,7,['radość;cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;strach;wstręt;']
odchody,7,[]
mokotów,7,[]
lampy,7,[]
kwietniki,7,[]
kotom,7,[]
konserwacja,7,[]
grenadierów,7,[]
dziecka,7,[]
defibrylatory,7,[]
czesci,7,[]
cykl,7,[]
celem,7,[]
bezpieczeństwo,7,[]
architektury,7,[]
śródmieście,6,[]
ławka,6,[]
zwa,6,[]
zimą,6,[]
zielenią,6,[]
zbiornik,6,[]
założenie,6,[]
zagospodarowania,6,[]
wysokości,6,[]
wschód,6,[]
woli,6,"['cieszenie się na;smutek;strach' 'strach;cieszenie się;smutek'
 'zaufanie;złość;radość;smutek;wstręt']"
uzupelnienie,6,[]
urządzeń,6,[]
ulicą,6,[]
trawy,6,[]
trawniki,6,[]
trawie,6,[]
słupków,6,[]
szkołą,6,[]
strefą,6,[]
straży,6,[]
stacji,6,[]
sprzątanie,6,[]
sportów,6,[]
spacery,6,[]
sokołów,6,[]
skarpa,6,[]
skarbców,6,[]
serce,6,['zaufanie;radość;smutek;wstręt' 'zaufanie;radość;smutek;wstręt']
ronda,6,[]
rewitalizacji,6,[]
rekreacyjno,6,[]
rekreacja,6,[]
ratunek,6,[]
rakow,6,[]
punktów,6,"['radość;cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;smutek;złość;strach;'
 'radość;smutek;złość;']"
ptakom,6,[]
ptak,6,[]
przyjaźni,6,[]
przedszkolach,6,[]
pasów,6,[]
pasaż,6,[]
parków,6,[]
parkour,6,[]
parkingi,6,[]
p,6,[]
osadzenie,6,[]
ogrodem,6,[]
ogrodach,6,[]
odnowa,6,[]
ochoty,6,['radość;złość;' 'radość;cieszenie się na coś oczekiwanego;smutek;złość;']
numer,6,[]
natury,6,['złość;radość;smutek' 'złość;radość;smutek']
monitoring,6,[]
mireckiego,6,[]
mieszkancy,6,[]
lokalizacjach,6,[]
lesie,6,[]
legionów,6,[]
labirynt,6,[]
kwiatami,6,[]
kotami,6,[]
koszty,6,[]
koszt,6,[]
kierunek,6,[]
kielczan,6,[]
kaczek,6,[]
jar,6,[]
góra,6,"['radość;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;wstręt;']"
gatunków,6,[]
fragmentu,6,[]
dzielnica,6,[]
działka,6,[]
działań,6,['radość;zaufanie;cieszenie się na coś oczekiwanego;smutek;złość;']
drzewostanu,6,[]
drzewami,6,[]
dawek,6,['radość;smutek;']
chodniki,6,[]
celu,6,[]
budynku,6,[]
aru,6,[]
armii,6,[]
żłobka,5,[]
żywopłot,5,[]
życia,5,[]
śródmieściu,5,[]
śródmieścia,5,[]
środowisko,5,[]
zieleńca,5,[]
zatorze,5,[]
